event_id,timestamp,agent_name,rule_id,rule_level,rule_groups,decoder_name,mitre_id,location,source_port,destination_port,source_is_private,destination_is_private,network_bytes,network_packets,has_network_evidence,has_audit_evidence,has_process_evidence,has_file_evidence,has_auth_evidence,has_privilege_evidence,host_events_previous_5m,same_rule_previous_5m,unique_rules_previous_10m,high_level_events_previous_10m,auth_events_previous_10m,file_events_previous_10m,privilege_events_previous_30m,mitre_events_previous_30m,rule_level_max_previous_10m,hour,day_of_week,is_after_hours,rule_count,rule_decision,rule_reason
wazuh-1788729217.2754313,2026-09-06T21:13:37.179000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,34,16,7,1,18,0,0,80,10,21,6,1,17,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729219.2754755,2026-09-06T21:13:39.181000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,35,17,7,1,18,0,0,80,10,21,6,1,18,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729235.2756246,2026-09-06T21:13:55.094000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,16,16,1,0,35,0,0,107,3,21,6,1,17,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729255.2756689,2026-09-06T21:14:15.719000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,16,16,1,0,34,0,0,107,3,21,6,1,17,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729265.2757132,2026-09-06T21:14:25.724000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,16,16,1,0,34,0,0,107,3,21,6,1,17,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729270.2759781,2026-09-06T21:14:30.541000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1,10,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729281.2761987,2026-09-06T21:14:41.943000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,16,16,1,0,34,0,0,107,3,21,6,1,17,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729291.2762889,2026-09-06T21:14:51.954000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,34,0,0,107,3,21,6,1,18,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729309.2763817,2026-09-06T21:15:09.995000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,35,0,0,108,3,21,6,1,18,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729326.2764260,2026-09-06T21:15:26.551000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,35,0,0,108,3,21,6,1,18,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729330.2766907,2026-09-06T21:15:30.607000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1,10,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729336.2769111,2026-09-06T21:15:36.836000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,35,0,0,108,3,21,6,1,18,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729339.2769554,2026-09-06T21:15:39.437000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,27,12,7,1,15,0,0,78,10,21,6,1,13,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729341.2769996,2026-09-06T21:15:41.443000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,28,13,7,1,15,0,0,78,10,21,6,1,14,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729343.2770438,2026-09-06T21:15:43.445000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,29,14,7,1,15,0,0,78,10,21,6,1,15,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729359.2771929,2026-09-06T21:15:59.896000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,35,0,0,108,3,21,6,1,18,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729371.2772921,2026-09-06T21:16:11.924000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,35,0,0,108,3,21,6,1,18,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729390.2776668,2026-09-06T21:16:30.758000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1,10,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729392.2778874,2026-09-06T21:16:32.415000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,35,0,0,108,3,21,6,1,18,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729400.2779317,2026-09-06T21:16:40.421000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729414.2779760,2026-09-06T21:16:54.510000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729428.2780203,2026-09-06T21:17:08.731000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729443.2780646,2026-09-06T21:17:23.859000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729452.2784940,2026-09-06T21:17:32.744000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1,10,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729468.2787144,2026-09-06T21:17:48.289000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729480.2787960,2026-09-06T21:18:00.468000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,109,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729498.2788403,2026-09-06T21:18:18.544000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729512.2793425,2026-09-06T21:18:32.875000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1,10,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729518.2795629,2026-09-06T21:18:38.612000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729529.2796072,2026-09-06T21:18:49.646000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,35,0,0,108,3,21,6,1,20,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729540.2796515,2026-09-06T21:19:00.655000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,35,0,0,108,3,21,6,1,20,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729554.2796958,2026-09-06T21:19:14.719000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,20,20,1,0,36,0,0,108,3,21,6,1,21,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729572.2797401,2026-09-06T21:19:32.800000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,36,0,0,107,3,21,6,1,20,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729573.2800050,2026-09-06T21:19:33.174000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1,10,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729590.2802256,2026-09-06T21:19:50.348000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,36,0,0,107,3,21,6,1,20,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729600.2803158,2026-09-06T21:20:00.789000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,36,0,0,107,3,21,6,1,20,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729619.2804086,2026-09-06T21:20:19.655000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,36,0,0,107,3,21,6,1,20,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729634.2808380,2026-09-06T21:20:34.951000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1,10,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729638.2810584,2026-09-06T21:20:38.125000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,36,0,0,107,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729652.2811027,2026-09-06T21:20:52.076000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,45056,0,1,0,0,0,1,0,0,0,1,0,16,9,6,0,12,0,0,79,6,21,6,1,10,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729652.2811576,2026-09-06T21:20:52.207000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,36,0,0,107,3,21,6,1,20,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729654.2812019,2026-09-06T21:20:54.081000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,45070,0,1,0,0,0,1,0,0,0,1,0,17,10,6,0,13,0,0,80,6,21,6,1,11,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729658.2812568,2026-09-06T21:20:58.085000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,45082,0,1,0,0,0,1,0,0,0,1,0,18,11,6,0,14,0,0,80,6,21,6,1,12,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729675.2813117,2026-09-06T21:21:15.104000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,36,0,0,107,3,21,6,1,19,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729685.2813560,2026-09-06T21:21:25.759000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,19,19,1,0,36,0,0,107,3,21,6,1,20,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788729695.2817153,2026-09-06T21:21:35.020000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1,10,aggregate,same rule repeated >= 10 times in 5 minutes
