event_id,timestamp,agent_name,rule_id,rule_level,rule_groups,decoder_name,mitre_id,location,source_port,destination_port,source_is_private,destination_is_private,network_bytes,network_packets,has_network_evidence,has_audit_evidence,has_process_evidence,has_file_evidence,has_auth_evidence,has_privilege_evidence,host_events_previous_5m,same_rule_previous_5m,unique_rules_previous_10m,high_level_events_previous_10m,auth_events_previous_10m,file_events_previous_10m,privilege_events_previous_30m,mitre_events_previous_30m,rule_level_max_previous_10m,hour,day_of_week,is_after_hours
wazuh-1788729330.2764703,2026-09-06T21:15:30.607000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,9,8,2,0,0,0,0,0,3,21,6,1
wazuh-1788729330.2766907,2026-09-06T21:15:30.607000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1
wazuh-1788729336.2769111,2026-09-06T21:15:36.836000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,35,0,0,108,3,21,6,1
wazuh-1788729339.2769554,2026-09-06T21:15:39.437000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,27,12,7,1,15,0,0,78,10,21,6,1
wazuh-1788729341.2769996,2026-09-06T21:15:41.443000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,28,13,7,1,15,0,0,78,10,21,6,1
wazuh-1788729343.2770438,2026-09-06T21:15:43.445000Z,lab-sensor-01,31101,5,accesslog|attack|web,web-accesslog,none,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,29,14,7,1,15,0,0,78,10,21,6,1
wazuh-1788729345.2770886,2026-09-06T21:15:45.447000Z,lab-sensor-01,30305,5,access_denied|apache|web,apache-errorlog,none,/var/log/apache2/error.log,60256,0,1,0,0,0,1,0,0,0,0,0,30,4,7,1,15,0,0,78,10,21,6,1
wazuh-1788729345.2771486,2026-09-06T21:15:45.448000Z,lab-sensor-01,31516,6,appsec|attack|web,web-accesslog,T1055,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,31,4,7,1,15,0,0,78,10,21,6,1
wazuh-1788729359.2771929,2026-09-06T21:15:59.896000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,35,0,0,108,3,21,6,1
wazuh-1788729371.2772372,2026-09-06T21:16:11.548000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,34110,0,1,0,0,0,1,0,0,0,1,0,32,3,7,1,15,0,0,76,10,21,6,1
wazuh-1788729371.2772921,2026-09-06T21:16:11.924000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,35,0,0,108,3,21,6,1
wazuh-1788729373.2773364,2026-09-06T21:16:13.538000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,34114,0,1,0,0,0,1,0,0,0,1,0,33,4,7,1,16,0,0,77,10,21,6,1
wazuh-1788729377.2773913,2026-09-06T21:16:17.551000Z,lab-sensor-01,5710,5,authentication_failed|invalid_login|sshd|syslog,sshd,T1021.004|T1110.001,journald,34120,0,1,0,0,0,1,0,0,0,1,0,34,5,7,1,17,0,0,78,10,21,6,1
wazuh-1788729390.2774462,2026-09-06T21:16:30.756000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,9,8,2,0,0,0,0,0,3,21,6,1
wazuh-1788729390.2776668,2026-09-06T21:16:30.758000Z,film-laptop,86601,3,ids|suricata,json,none,/var/log/suricata/eve.json,68,67,1,1,0,0,1,0,0,0,0,0,10,9,2,0,0,0,0,0,3,21,6,1
wazuh-1788729392.2778874,2026-09-06T21:16:32.415000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,35,0,0,108,3,21,6,1
wazuh-1788729400.2779317,2026-09-06T21:16:40.421000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,35,0,0,108,3,21,6,1
